,Target User,Compound Score,Positive Score,Negative Score,Neutral Score,Date & Time
191,CBS,0.0,0.0,0.0,1.0,2018-08-05 23:10:20+00:00
192,CBS,0.6041,0.225,0.0,0.775,2018-08-05 23:05:58+00:00
193,CBS,0.3802,0.147,0.0,0.853,2018-08-05 23:01:25+00:00
194,CBS,-0.2057,0.0,0.083,0.917,2018-08-05 22:58:41+00:00
195,CBS,0.0,0.0,0.0,1.0,2018-08-05 22:58:36+00:00
196,CBS,-0.0572,0.0,0.064,0.936,2018-08-05 22:53:12+00:00
197,CBS,-0.3612,0.059,0.121,0.82,2018-08-05 22:52:24+00:00
198,CBS,0.4939,0.138,0.0,0.862,2018-08-05 22:49:06+00:00
199,CBS,0.0,0.0,0.0,1.0,2018-08-05 22:46:49+00:00
200,CNN,0.3182,0.103,0.0,0.897,2018-10-01 22:21:05+00:00
201,CNN,0.0,0.0,0.0,1.0,2018-10-01 22:11:06+00:00
202,CNN,0.0,0.0,0.0,1.0,2018-10-01 22:04:58+00:00
203,CNN,0.4215,0.148,0.074,0.779,2018-10-01 22:01:05+00:00
204,CNN,0.0,0.0,0.0,1.0,2018-10-01 21:59:24+00:00
205,CNN,0.7964,0.283,0.0,0.717,2018-10-01 21:56:00+00:00
206,CNN,0.0258,0.068,0.0,0.932,2018-10-01 21:51:02+00:00
207,CNN,0.0,0.0,0.0,1.0,2018-10-01 21:46:00+00:00
208,CNN,0.2732,0.104,0.0,0.896,2018-10-01 21:41:04+00:00
209,CNN,0.4939,0.158,0.0,0.842,2018-10-01 21:36:00+00:00
210,CNN,-0.7579,0.0,0.302,0.698,2018-10-01 21:31:05+00:00
211,CNN,0.0,0.0,0.0,1.0,2018-10-01 21:22:30+00:00
212,CNN,0.0,0.0,0.0,1.0,2018-10-01 21:20:08+00:00
213,CNN,0.0,0.0,0.0,1.0,2018-10-01 21:16:32+00:00
214,CNN,-0.4019,0.151,0.18,0.669,2018-10-01 21:10:09+00:00
215,CNN,0.2732,0.148,0.077,0.774,2018-10-01 21:00:11+00:00
216,CNN,-0.6249,0.0,0.212,0.788,2018-10-01 20:50:06+00:00
217,CNN,0.2023,0.083,0.0,0.917,2018-10-01 20:47:31+00:00
218,CNN,-0.3182,0.0,0.113,0.887,2018-10-01 20:42:47+00:00
219,CNN,0.3182,0.183,0.095,0.722,2018-10-01 20:40:08+00:00
220,CNN,-0.4019,0.0,0.124,0.876,2018-10-01 20:30:09+00:00
221,CNN,0.5267,0.206,0.0,0.794,2018-10-01 20:28:24+00:00
222,CNN,0.5574,0.141,0.0,0.859,2018-10-01 20:20:08+00:00
223,CNN,0.0,0.0,0.0,1.0,2018-10-01 20:16:34+00:00
224,CNN,0.0516,0.052,0.0,0.948,2018-10-01 20:14:39+00:00
225,CNN,0.0,0.0,0.0,1.0,2018-10-01 20:10:06+00:00
